companyId,exchangeCode,symbol,lastClosePrice
137792,XTRA,EUZ,60.65
138593,NasdaqCM,SPCB,1.78
138608,LSE,BVC,1.075
138633,XTRA,AIXA,17.565
138639,ENXTBR,MELE,98.4
138644,ENXTPA,STM,33.83
139027,ENXTBR,KIN,39.5
139028,LSE,RPS,0.821
139126,ENXTBR,BAR,19.39
139153,ENXTBR,CPINV,25.5
139337,BIT,TIS,0.0283
139426,NasdaqGS,QNST,24.07
139488,NYSE,MCD,212.06
139511,OM,CAT B,32.9
139517,OM,SVOL B,185.2
139677,NYSE,JNJ,161.87
139682,OM,BINV,48.68
139813,NYSE,PCG,11.41
139957,NSEI,AJANTPHARM,1775.1
140141,BIT,ETH,4.98
140233,NasdaqGS,TRIP,44.71
140282,NasdaqGM,WSTG,20.265
140283,NasdaqGS,TXN,173.09
140582,ENXTPA,ALNOX,0.49
141051,BSE,523704,1133.6
141129,BSE,522205,137.9
141189,NYSE,MODN,43.31
141232,NSEI,SUNPHARMA,595.3
141249,XTRA,COK,53.75
142579,OM,STWK,112.0
142742,OM,INDU A,291.2
142747,TSE,6501,4934.0
143396,OM,INDT,192.9
143614,NasdaqGS,NDSN,184.38
144081,BOVESPA,LAME4,28.95
144111,AMEX,ACY,12.85
144218,XTRA,GXI,91.7
154140,BMV,AXTEL CPO,5.25
154924,NYSE,A,123.5
155031,NasdaqGS,TCBI,76.97
155049,XTRA,ADV,9.03
155503,ENXTPA,ALATF,3.85
155731,SEHK,17,38.7
155882,XTRA,NXU,55.4
157028,NYSE,ESI,17.73
159230,NYSE,RTX,73.0
159264,NYSE,OTIS,63.23
159857,LSE,NCC,2.68
160077,NYSE,ANTM,295.69
160233,NYSE,BAH,77.27
162270,NYSE,PFE,34.26
163111,NYSE,VMI,230.41
163883,LSE,TED,1.025
165298,NYSE,HUN,28.67
166115,NasdaqGM,CGEN,11.82
166457,NYSE,CXW,7.59
166754,NasdaqGS,NTGR,42.54
166762,NYSE,UNM,26.55
167042,ENXTPA,GLO,10.1
167444,ENXTPA,TRI,154.4
167483,KOSE,A001740,5280.0
167918,BME,PHM,110.0
167945,ASX,ANN,37.99
168151,NYSE,CBB,15.3
168154,NYSE,AIR,41.07
168505,ENXTPA,ALTER,2.55
168569,NasdaqGS,AAL,20.44
168864,NasdaqGS,AMD,85.37
168945,NasdaqGS,ATRI,621.32
169056,NYSE,Y,620.0
169224,NSEI,GPPL,96.0
169308,NYSE,NCR,35.71
169838,NasdaqGS,APA,19.08
170260,TSX,BCE,54.9
170352,NYSE,BLL,88.07
170920,JASDAQ,3807,274.0
171106,NYSE,EPR,44.44
171296,NYSE,BRC,51.82
171577,LSE,BT.A,1.3175
171604,NYSE,MTZ,87.26
171649,NYSE,BC,89.57
171759,NYSE,CPF,22.38
172131,NYSE,CBT,50.52
172207,NYSE,CAH,52.13
172593,AMEX,CCF,107.65
172847,NYSE,CIA,6.16
172899,NYSE,CI,209.15
173094,NasdaqGS,COHR,250.15
173341,NasdaqGS,CMCS.A,52.5
173840,NYSE,GLW,37.95
173927,NYSE,CR,85.75
174336,NYSE,DAN,23.31
174438,NYSE,TGT,188.99
174765,NYSE,DCI,61.08
174901,NYSE,DOV,122.14
175181,NasdaqGM,EML,25.52
175265,NYSE,ETN,130.85
175643,NasdaqGM,ESCA,20.56
175749,NYSE,EFX,169.93
176102,NYSE,FOE,15.94
176291,NasdaqGS,FHB,28.49
