symbol,tradePrice
EVT,11.2
AVT,0.414
STC,51.82
5269,414.0
002388,4.92
TBCG,11.0
FINEORG,2325.1
BMN,0.17875
00676R,3.86
2418,357.0
041930A,12550.0
002504,1.98
300630,48.68
002107,7.89
002140,6.71
1084,1.17
GBT,48.03
2927,974.0
MARK,1110.0
000988,21.89
300105,3.9
1809,11.6
ADV,9.25
ARDX,6.88
7086,1588.0
159925,2.54
1678,192.0
CSSMI,111.5
000932,5.72
005720A,4650.0
IRWD,9.48
300571,33.02
002416,9.22
8252,2117.0
1513,50.4
MSE,35.99
000905,6.67
VFV,86.81
000723,7.57
160726,1.414
ICON,0.12
7537,520.0
BCHN,329.5
002853,23.98
VICR,92.01
NK,32.38
159980,1.312
3003,1228.0
002232,11.44
STAG,31.74
DSM,138.0
CFMS,1.08
AGRO,12.05
PJW,2.36
000009,10.27
500285,83.8
1323,0.8
002976,24.8
ZSL,5.57
STHR,3.4
1530,8.29
008730A,22950.0
PBH,41.48
6918,1.68
2330,625.0
6819,6.52
5981,1432.0
CWT,3.36
SCC,5.682
300043,3.26
1546,32350.0
000507,5.29
300425,4.42
BOSS,120.0
4968,568.0
3296,22.05
000021,21.39
ECN,187.74
TCS,54.03
1565,1.71
600103,2.12
ASM,5.22
002877,6.6
EVLI,16.4
000880,9.76
002601,42.93
000601,5.8
002384,22.29
2060,3.32
3046,7450.0
002446,5.8
300365,9.0
TSPOR,2.4
SHG,1.66
AMD,84.74
KRP,9.8
510100,1.464
DOM,3.925
002848,9.59
688196,58.87
159975,0.758
MTV,1.32
000069,8.13
1721,3265.0
1050,1.45
300084,3.9
002033,7.05
ADEB,126.3
1876,27.2
300582,18.19
ESNT,3.026
6191,26.65
095910A,6050.0
300019,17.26
IGC,1.83
512070,2.505
300259,4.43
GTX,6.4
5288,526.0
002780,18.63
ONE,3.66
2423,24.0
2730,1069.0
000967,8.65
9768,1709.0
002662,3.23
LBTYA,25.28
UNA,44.575
ECL,211.16
BFEB,28.37
002414,39.27
002629,2.04
IXJ,95.62
002148,4.03
050960A,37450.0
6049,51.15
2897,8290.0
8697,2310.0
VII,8.68
UNVR,6850.0
1045,2.29
002302,8.8
EXXT,105.76
2269,102.2
300568,27.05
