companyId,symbol,tradePrice,lastClosePrice,slippage
319092,PRGO,42.5,42.12,0.902184235517578
1329903,4848,1981.0,1980.0,0.05050505050505638
4003514,LSE,95.8,96.38,-0.6017846026146523
9549315,9921,287.0,283.0,1.4134275618374659
27340632,068050A,5200.0,5970.0,-12.897822445561136
5411748,014130A,6110.0,6810.0,-10.279001468428783
32501460,ASC,46.45,46.0,0.9782608695652284
882034,151,5.79,5.88,-1.5306122448979553
20406761,NLMK,28.48,28.66,-0.6280530355896707
877346,MYPK3,12.85,12.86,-0.07776049766717863
883287,5208,977.0,982.0,-0.5091649694501044
324377133,300830,10.69,10.87,-1.6559337626494863
6464898,THULE,345.0,336.0,2.678571428571419
37283473,002261,6.94,6.91,0.4341534008683201
20406716,600890,3.5,3.66,-4.371584699453557
138462525,AIF,14.64,14.68,-0.27247956403269047
100918,AVA,38.82,38.14,1.7829050865233453
44919330,EWX,55.45,55.21,0.4347038579967544
313393,WRE,23.43,22.95,2.091503267973849
46234385,002256,1.45,1.48,-2.0270270270270285
278284064,CTK,63.83,64.0,-0.26562500000000266
877906,BIMBOA,38.03,37.1,2.506738544474385
104494881,300082,12.38,12.77,-3.0540328895849567
83155334,002331,12.9,12.65,1.976284584980248
254193,B,53.89,52.32,3.000764525993893
47096038,4934,27.05,26.9,0.5576208178438735
874687,WOW,39.5,39.12,0.9713701431492971
104554559,ELF,25.38,25.38,0.0
34322384,MELI,1775.79,1788.82,-0.728413143860196
28390091,002064,15.73,16.36,-3.85085574572126
21823395,2437,474.0,478.0,-0.8368200836820106
33574,UONEK,1.64,1.82,-9.8901098901099
94862,WMH,2.711,2.703,0.2959674435812021
879878,3315,103.0,104.0,-0.9615384615384581
880404,8163,876.0,870.0,0.6896551724137945
874110,PEO,65.6,66.14,-0.8164499546416737
553683,ACA,11.66,11.455,1.7896115233522414
26400063,NSPR,0.94,1.06,-11.32075471698114
3605739,BLE,15.149,15.45,-1.9482200647249148
257016379,LRE,4.785,4.63,3.3477321814255
676198112,159810,1.181,1.231,-4.061738424045491
139741704,300265,9.16,9.06,1.103752759381904
5755228,7705,2366.0,2520.0,-6.111111111111112
880962,1515,5940.0,5990.0,-0.8347245409014992
9776648,2108,63.2,62.6,0.9584664536741228
656318767,2562,2716.0,2713.0,0.11057869517139274
115781930,300162,5.55,5.39,2.9684601113172615
224401956,300546,13.55,13.23,2.4187452758881456
246118617,ARW,2.715,2.75,-1.272727272727281
877972,ANTARCHILE,8400.0,8500.0,-1.17647058823529
82079654,002357,4.66,4.63,0.6479481641468832
8342858,2899,12.46,14.58,-14.54046639231824
12706412,000038,10.05,9.96,0.9036144578313143
30792773,002106,10.97,11.03,-0.5439709882139487
262974615,002747,30.77,33.75,-8.829629629629633
878204,1414,4615.0,4730.0,-2.4312896405919715
